;robo_con_vio;robo_con_sor;robo_con_fuerza;robo_de_vehi;Robo_acceso_vehi;robo_lugar_habi;robo_lugar_no_hab;robos_otros;hurtos;lesiones;lesiones_leves;lesiones_graves;violacion;homicidio
Tomé;135.006;52.977;593.000;47.850;32.470;268.303;223.870;20.507;581.038;370.839;276.847;93.991;22.216;1.709
Arauco;116.747;28.538;708.263;31.132;101.180;243.871;316.513;15.566;591.516;238.682;173.823;64.859;18.161;0
Cañete;138.504;149.367;866.330;24.442;100.483;420.944;304.166;16.295;659.932;355.766;200.967;154.799;24.442;0
Contulmo;79.202;47.521;300.966;0;15.840;174.244;95.042;15.840;681.134;269.286;158.403;110.882;0;15.840
Curanilahue;133.034;79.820;1.028.794;38.432;88.689;567.611;331.106;2.956;402.058;339.975;271.980;67.995;11.825;11.825
Lebu;48.073;59.167;680.423;14.792;29.584;391.983;229.273;14.792;521.411;299.534;221.877;77.657;29.584;0
Los Álamos;75.981;84.920;446.947;8.939;17.878;250.291;165.371;4.469;451.417;201.126;143.023;58.103;26.817;0
Tirúa;191.344;45.558;929.385;54.670;27.335;464.692;355.353;27.335;537.585;346.241;200.456;145.786;54.670;18.223
Alto Biobío;14.793;14.793;221.893;0;29.586;29.586;118.343;44.379;251.479;340.237;251.479;88.757;0;0
Antuco;0;0;349.569;69.914;69.914;69.914;139.828;0;209.741;209.741;163.132;46.609;0;0
Cabrero;62.165;26.175;471.143;35.990;150.504;134.145;104.698;45.806;301.008;196.309;153.776;42.534;9.815;0
Laja;92.348;25.186;759.770;4.198;104.941;352.600;281.241;16.790;474.332;251.857;197.288;54.569;0;0
Los Ángeles;173.516;181.361;1.034.172;59.069;241.815;409.331;305.037;18.921;572.233;215.972;158.287;57.685;8.768;1.846
Mulchén;100.087;25.829;768.411;38.743;125.916;274.433;255.061;74.258;371.291;148.516;113.002;35.515;22.600;0
Nacimiento;75.323;25.108;373.027;28.694;53.802;139.885;143.472;7.174;269.010;139.885;132.712;7.174;14.347;0
Negrete;67.489;19.283;347.088;0;67.489;144.620;134.979;0;260.316;347.088;308.523;38.565;9.641;0
Quilaco;23.941;0;766.100;23.941;119.703;263.347;215.466;143.644;383.050;0;0;0;0;0
Quilleco;39.876;19.938;348.918;0;59.815;129.598;109.660;49.845;299.073;239.258;199.382;39.876;9.969;0
San Rosendo;0;27.632;663.167;0;0;359.215;276.319;27.632;690.799;414.479;359.215;55.264;0;0
Santa Bárbara;13.745;27.490;439.832;13.745;54.979;185.554;171.809;13.745;247.406;247.406;192.427;54.979;20.617;0
Tucapel;33.071;0;634.963;39.685;158.741;165.355;251.339;19.843;343.938;257.954;205.040;52.914;33.071;0
Yumbel;40.776;36.245;815.513;45.306;81.551;385.103;235.593;67.959;434.940;222.001;181.225;40.776;13.592;0
Carahue;51.093;15.721;373.369;11.791;19.651;176.859;157.208;7.860;455.903;298.695;227.952;70.744;15.721;0
Cholchol;49.032;8.172;335.049;40.860;0;163.439;106.235;24.516;245.158;171.611;138.923;32.688;57.204;0
Cunco;16.639;5.546;615.641;16.639;49.917;305.047;232.945;11.093;560.177;199.667;166.389;33.278;16.639;0
Curarrehue;0;0;180.250;0;12.875;64.375;103.000;0;283.250;115.875;103.000;12.875;25.750;0
Freire;59.076;31.507;551.376;31.507;66.953;200.859;224.489;27.569;429.286;263.873;216.612;47.261;19.692;3.938
Galvarino;39.588;15.835;459.224;15.835;7.918;142.518;150.435;142.518;205.859;300.871;229.612;71.259;23.753;0
Gorbea;72.636;39.620;528.262;26.413;13.207;191.495;290.544;6.603;462.229;231.115;171.685;59.429;13.207;0
Lautaro;74.302;34.674;601.843;12.384;59.441;188.231;321.973;19.814;406.182;208.044;163.463;44.581;14.860;4.953
Loncoche;97.229;32.410;676.552;24.307;52.666;332.199;251.175;16.205;482.094;344.353;299.789;44.563;24.307;0
Melipeuco;0;16.028;128.226;0;0;96.169;32.056;0;224.395;128.226;80.141;48.085;0;0
Nueva Imperial;71.399;77.349;565.241;29.750;77.349;279.645;178.497;0;544.416;282.620;214.196;68.424;26.775;0
Padre Las Casas;103.575;39.457;446.357;56.719;39.457;208.382;136.866;4.932;284.830;154.129;108.507;45.622;25.894;0
Perquenco;83.368;27.789;541.892;13.895;0;222.315;291.788;13.895;277.894;83.368;83.368;0;13.895;0
Pitrufquén;69.455;57.879;752.431;38.586;73.314;374.286;246.952;19.293;382.003;223.800;189.072;34.728;30.869;7.717
Pucón;61.081;40.721;1.092.674;33.934;152.703;648.139;237.538;20.360;936.577;400.421;339.340;61.081;20.360;0
Saavedra;23.416;7.805;312.207;7.805;39.026;140.493;124.883;0;195.130;195.130;163.909;31.221;0;0
Temuco;202.250;212.229;1.201.192;181.626;287.075;434.771;258.468;39.252;888.503;298.385;237.843;60.542;20.624;0,998
Teodoro Schmidt;19.022;6.341;234.608;0;12.682;126.815;95.111;0;171.200;190.223;158.519;31.704;31.704;0
Toltén;9.926;0;218.362;29.777;19.851;49.628;119.107;0;347.395;238.213;228.288;9.926;9.926;0
Vilcún;26.444;16.527;502.430;6.611;56.193;294.186;142.135;3.305;277.658;175.189;125.607;49.582;13.222;0
Villarrica;69.997;37.559;715.334;23.901;105.849;331.205;240.721;13.658;624.851;187.797;148.530;39.267;25.609;0
Angol;112.982;53.801;776.528;30.487;62.768;328.186;312.046;43.041;749.628;294.112;199.064;95.049;30.487;3.587
Collipulli;123.096;42.314;426.989;15.387;19.234;153.870;207.724;30.774;819.357;419.295;315.433;103.862;30.774;0
Curacautín;27.568;0;468.655;11.027;44.109;264.652;143.353;5.514;413.519;209.516;170.921;38.595;11.027;0
Ercilla;224.374;47.237;507.794;23.618;23.618;177.137;271.611;11.809;531.412;413.321;247.992;165.328;59.046;35.427
Lonquimay;9.079;36.317;163.428;0;18.159;36.317;108.952;0;317.777;181.587;108.952;72.635;18.159;0
Los Sauces;93.135;26.610;904.737;53.220;13.305;172.964;252.794;412.453;625.333;159.659;93.135;66.525;0;0
Lumaco;9.925;0;357.285;9.925;0;129.019;148.869;69.472;526.002;228.265;158.793;69.472;0;0
Purén;49.213;16.404;500.328;0;32.808;213.255;196.850;57.415;533.136;369.094;270.669;98.425;41.010;8.202
Renaico;111.483;83.612;919.732;27.871;167.224;343.738;325.158;55.741;678.187;343.738;269.417;74.322;55.741;0
Traiguén;51.797;0;590.490;31.078;20.719;321.144;145.033;72.516;538.693;326.323;248.627;77.696;10.359;5.180
Victoria;84.763;36.730;791.117;36.730;56.508;344.701;285.367;67.810;825.022;240.160;200.605;39.556;14.127;0
Corral;18.369;18.369;367.377;0;18.369;146.951;165.320;36.738;293.902;202.057;146.951;55.107;18.369;0
Lanco;74.184;11.413;393.746;17.119;39.945;176.900;148.368;11.413;576.352;256.791;194.020;62.771;11.413;0
Los Lagos;73.214;24.405;522.257;19.524;102.499;195.236;180.594;24.405;561.304;209.879;180.594;29.285;29.285;0
Máfil;27.100;0;623.306;27.100;40.650;257.453;230.352;67.751;460.705;352.304;325.203;27.100;13.550;0
Mariquina;91.241;34.758;625.652;4.345;91.241;234.619;295.447;0;625.652;295.447;251.999;43.448;26.069;4.345
Paillaco;38.601;9.650;386.007;0;24.125;149.578;197.829;14.475;414.958;284.680;217.129;67.551;24.125;0
Panguipulli;47.393;13.939;607.750;5.576;41.818;292.724;264.845;2.788;462.782;303.875;209.088;94.787;16.727;0
Valdivia;139.335;109.641;1.140.380;34.834;216.427;501.950;336.918;50.252;801.750;275.245;213.571;61.673;31.408;1.713
Futrono;39.331;13.110;439.200;0;19.666;255.654;163.881;0;380.203;216.323;196.657;19.666;19.666;0
La Unión;32.956;10.140;550.119;7.605;50.702;289.003;195.204;7.605;443.644;205.344;149.572;55.772;10.140;0
Lago Ranco;9.727;9.727;389.067;0;0;136.174;252.894;0;233.440;106.993;106.993;0;0;0
Río Bueno;27.383;21.298;459.427;9.128;33.468;234.278;179.511;3.043;404.661;249.490;185.596;63.894;6.085;0
Calbuco;65.858;35.673;277.153;2.744;16.465;109.763;145.437;2.744;436.310;296.361;211.295;85.067;19.209;2.744
Cochamó;0;24.900;348.606;0;24.900;149.402;149.402;24.900;273.904;124.502;124.502;0;24.900;0
Fresia;47.393;7.899;284.360;7.899;15.798;78.989;173.776;7.899;260.664;300.158;197.472;102.686;39.494;0
Frutillar;44.924;9.983;494.160;19.966;64.890;189.678;219.627;0;299.491;184.686;139.762;44.924;4.992;0
Llanquihue;75.574;0;345.479;21.592;32.389;124.157;167.341;0;367.072;280.702;210.526;70.175;10.796;0
Los Muermos;11.245;0;151.805;0;5.622;56.224;89.958;0;213.651;247.386;208.029;39.357;33.734;0
Maullín;20.111;6.704;147.483;6.704;13.408;40.223;87.149;0;281.558;160.890;127.371;33.519;26.815;6.704
Puerto Montt;176.783;112.840;986.974;54.916;215.525;414.499;288.118;13.917;786.871;332.126;261.037;71.089;26.329;1.881
Puerto Varas;75.243;41.802;873.655;29.261;273.801;296.792;263.350;10.450;790.051;246.630;171.387;75.243;12.540;0
Ancud;37.755;16.518;344.510;4.719;47.193;132.141;153.378;7.079;549.801;254.843;210.010;44.834;21.237;0
Castro;93.193;48.714;453.255;25.416;40.242;150.379;226.628;10.590;830.262;385.479;292.286;93.193;31.770;2.118
Chonchi;56.572;12.572;169.715;6.286;0;50.286;106.858;6.286;232.573;251.430;220.001;31.429;25.143;0
Curaco de Vélez;0;0;49.493;0;0;24.746;24.746;0;197.971;197.971;173.224;24.746;24.746;0
Dalcahue;26.767;0;187.366;0;26.767;73.608;80.300;6.692;307.816;240.899;160.600;80.300;26.767;0
Puqueldón;0;0;119.076;0;0;47.630;71.446;0;166.706;166.706;71.446;95.261;23.815;0
Queilén;36.140;0;198.771;0;0;54.210;144.561;0;216.841;289.122;216.841;72.280;18.070;0
Quellón;68.863;24.102;371.862;10.330;27.545;154.943;168.715;10.330;581.896;351.203;213.477;137.727;34.432;0
Quemchi;0;0;159.453;0;11.390;79.727;68.337;0;125.285;113.895;113.895;0;22.779;0
Quinchao;12.019;0;96.154;0;0;12.019;72.115;12.019;252.404;204.327;144.231;60.096;0;12.019
Osorno;133.460;117.213;723.006;42.359;183.363;247.192;233.265;16.828;699.796;302.316;235.586;66.730;23.210;1.741
Puerto Octay;0;10.851;401.476;10.851;43.403;227.865;119.358;0;379.774;162.760;141.059;21.701;10.851;0
Purranque;94.872;14.231;517.053;4.744;28.462;180.257;298.847;4.744;445.899;393.719;313.078;80.641;33.205;0
Puyehue;42.517;0;603.741;8.503;76.531;365.646;153.061;0;484.694;272.109;229.592;42.517;25.510;0
Río Negro;34.958;20.975;447.459;0;13.983;251.695;167.797;13.983;356.569;202.755;153.814;48.941;13.983;0
San Juan de la Costa;39.012;0;624.187;13.004;0;351.105;247.074;13.004;390.117;390.117;260.078;130.039;39.012;0
San Pablo;47.407;9.481;786.954;0;66.370;388.736;322.367;9.481;417.180;218.071;151.702;66.370;9.481;0
Chaitén;0;0;159.968;19.996;59.988;19.996;59.988;0;239.952;99.980;79.984;19.996;19.996;0
Futaleufú;36.101;0;72.202;0;0;0;72.202;0;433.213;288.809;288.809;0;0;0
Hualaihué;0;0;305.681;0;0;115.948;189.733;0;337.304;337.304;274.059;63.244;21.081;0
Palena;0;0;0;0;0;0;0;0;384.193;219.539;164.654;54.885;0;0
Coyhaique;70.698;24.662;491.598;49.324;59.189;161.126;203.874;18.086;741.508;356.779;267.995;88.784;36.171;1.644
Lago Verde;0;0;108.814;0;0;0;108.814;0;217.628;0;0;0;108.814;0
Aysén;32.154;8.039;329.582;12.058;24.116;64.309;213.023;16.077;679.260;373.794;301.447;72.347;28.135;0
Cisnes;17.238;0;258.576;0;17.238;68.954;155.146;17.238;482.675;379.245;327.530;51.715;34.477;0
Guaitecas;0;0;251.414;0;0;62.854;125.707;62.854;754.243;377.121;377.121;0;188.561;0
Cochrane;0;0;273.224;0;54.645;27.322;163.934;27.322;409.836;273.224;191.257;81.967;0;0
O'Higgins;0;0;0;0;0;0;0;0;305.344;305.344;305.344;0;0;0
Tortel;0;0;176.367;0;176.367;0;0;0;176.367;176.367;176.367;0;0;0
Chile Chico;19.623;0;451.334;0;39.246;117.739;294.349;0;451.334;255.102;235.479;19.623;0;0
Río Ibáñez;0;0;409.074;37.189;0;111.566;223.131;37.189;334.697;297.508;223.131;74.377;37.189;0
Laguna Blanca;0;0;751.880;0;0;0;375.940;375.940;0;375.940;375.940;0;0;0
Punta Arenas;42.817;14.986;313.276;83.493;47.812;82.065;94.197;5.709;421.032;259.041;201.239;57.803;26.404;1.427
Río Verde;0;0;469.484;0;0;469.484;0;0;0;0;0;0;0;0
San Gregorio;0;0;145.773;0;0;0;145.773;0;728.863;583.090;291.545;291.545;0;0
Antártica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo de Hornos;0;0;0;0;0;0;0;0;253.036;303.644;253.036;50.607;0;0
Porvenir;55.633;13.908;389.430;13.908;0;83.449;264.256;27.816;292.072;389.430;222.531;166.898;13.908;0
Primavera;0;0;574.713;0;0;0;574.713;0;431.034;0;0;0;0;0
Timaukel;0;0;353.357;0;0;0;353.357;0;0;353.357;353.357;0;0;0
Natales;21.356;0;277.624;46.982;25.627;85.423;106.778;12.813;457.011;277.624;209.285;68.338;29.898;0
Torres del Paine;100.200;0;100.200;0;100.200;0;0;0;801.603;400.802;300.601;100.200;0;0
