Comuna;robo_con_vio;robo_con_sor;robo_con_fuer;robo_vehi;robo_acce_vehi;robo_lugar_h;robo_lugar_nh;robos_con_fuer_otros;hurtos;lesiones;lesiones_lev;lesiones_gra;violacion;homicidio
Curacaví;215,5655095;27,99552072;991,0414334;95,18477044;142,7771557;439,5296753;305,1511758;8,398656215;590,7054871;389,137738;327,5475924;61,59014558;19,5968645;2,799552072
Curaco de Vélez;0;0;49,49269983;0;0;24,74634991;24,74634991;0;197,9707993;197,9707993;173,2244494;24,74634991;24,74634991;0
Curanilahue;133,033761;79,82025661;1028,794418;38,4319754;88,68917401;567,6107137;331,1062496;2,9563058;402,0575888;339,975167;271,9801336;67,99503341;11,8252232;11,8252232
Curarrehue;0;0;180,2497747;0;12,87498391;64,37491953;102,9998713;0;283,2496459;115,8748552;102,9998713;12,87498391;25,74996781;0
Curepto;0;0;390,4189089;10,5518624;10,5518624;137,1742112;232,1409729;0;221,5891105;242,6928353;200,4853857;42,20744961;10,5518624;0
Curicó;246,8630406;123,4315203;1307,505753;50,86122948;304,547118;525,359285;356,6488652;70,08925526;902,4766938;320,0535904;248,1035584;71,95003194;14,88621351;0,620258896
Dalcahue;26,76659529;0;187,366167;0;26,76659529;73,60813704;80,29978587;6,691648822;307,8158458;240,8993576;160,5995717;80,29978587;26,76659529;0
Diego de Almagro;34,70294281;20,82176569;735,7023876;20,82176569;27,76235425;381,7323709;284,564131;20,82176569;222,098834;270,6829539;201,2770683;69,40588562;6,940588562;0
Doñihue;125,0837614;35,73821756;670,0915792;35,73821756;49,14004914;227,8311369;357,3821756;0;312,7094036;393,1203931;335,0457896;58,07460353;31,27094036;0
El Bosque;760,4074944;128,289608;776,7352627;237,3357747;248,4153318;177,2729128;97,38347513;16,32776829;203,513969;346,9650761;283,4034067;63,5616694;19,82657578;2,332538327
El Carmen;24,29543246;8,098477486;299,643667;8,098477486;24,29543246;137,6741173;113,3786848;16,19695497;429,2193068;259,1512796;186,2649822;72,88629738;8,098477486;0
El Monte;152,6872964;43,26140065;506,4128664;43,26140065;48,3509772;249,3892508;162,8664495;2,544788274;203,5830619;211,2174267;152,6872964;58,53013029;2,544788274;10,17915309
El Quisco;264,870156;92,12874993;3172,683826;86,37070306;431,8535153;2360,799217;276,3862498;17,27414061;760,0621869;564,2885933;472,1598434;92,12874993;23,03218748;0
El Tabo;327,682006;85,48226243;2956,261576;163,841003;299,1879185;2122,809517;356,1760935;14,24704374;498,6465308;619,7464026;520,0170965;99,72930617;28,49408748;0
Empedrado;23,78686965;0;285,4424358;0;0;71,36060894;190,2949572;23,78686965;451,9505233;237,8686965;190,2949572;47,5737393;0;0
Ercilla;224,3741143;47,23665564;507,7940482;23,61832782;23,61832782;177,1374587;271,61077;11,80916391;531,412376;413,3207369;247,9924421;165,3282948;59,04581956;35,42749173
Estación Central;1073,348138;660,3156212;1067,447674;254,2563805;395,3311233;130,8830313;254,7927864;32,18435197;1103,386867;362,6103655;270,8849624;91,72540311;19,84701705;4,827652795
Florida;42,32625074;8,465250148;871,9207653;76,18725133;76,18725133;372,4710065;296,2837552;50,79150089;499,4497587;364,0057564;296,2837552;67,72200119;16,9305003;0
Freire;59,07605057;31,50722697;551,376472;31,50722697;66,95285731;200,8585719;224,4889922;27,5688236;429,2859675;263,8730259;216,6121854;47,26084046;19,69201686;3,938403371
Freirina;39,53089999;0;448,0168665;26,35393332;0;171,3005666;224,0084333;26,35393332;197,6544999;131,7696666;92,23876664;39,53089999;0;0
Fresia;47,39336493;7,898894155;284,3601896;7,898894155;15,79778831;78,98894155;173,7756714;7,898894155;260,6635071;300,1579779;197,4723539;102,685624;39,49447077;0
Frutillar;44,92362983;9,983028851;494,1599281;19,9660577;64,88968753;189,6775482;219,6266347;0;299,4908655;184,6860337;139,7624039;44,92362983;4,991514425;0
Futaleufú;36,10108303;0;72,20216606;0;0;0;72,20216606;0;433,2129964;288,8086643;288,8086643;0;0;0
Futrono;39,33136676;13,11045559;439,2002622;0;19,66568338;255,653884;163,8806949;0;380,2032121;216,3225172;196,6568338;19,66568338;19,66568338;0
Galvarino;39,58828187;15,83531275;459,2240697;15,83531275;7,917656374;142,5178147;150,4354711;142,5178147;205,8590657;300,8709422;229,6120348;71,25890736;23,75296912;0
General Lagos;0;0;496,8944099;0;0;248,447205;248,447205;0;372,6708075;0;0;0;0;0
Gorbea;72,63602747;39,61965135;528,262018;26,4131009;13,20655045;191,4949815;290,5441099;6,603275225;462,2292657;231,1146329;171,6851558;59,42947702;13,20655045;0
Graneros;133,5187761;86,23087622;884,5618915;50,06954103;136,3004172;333,7969402;305,9805285;58,41446453;628,650904;428,3727399;333,7969402;94,57579972;11,12656467;0
Guaitecas;0;0;251,4142049;0;0;62,85355123;125,7071025;62,85355123;754,2426147;377,1213074;377,1213074;0;188,5606537;0
Hijuelas;84,5487212;0;486,1551469;10,56859015;147,9602621;110,9701966;216,6560981;0;243,0775735;147,9602621;89,83301628;58,12724583;15,85288523;0
Hualaihué;0;0;305,6814588;0;0;115,9481396;189,7333193;0;337,3036787;337,3036787;274,059239;63,24443976;21,08147992;0
Hualañé;29,42330326;0;294,2330326;19,6155355;19,6155355;49,03883876;205,9631228;0;255,0019616;117,693213;98,07767752;19,6155355;0;0
Hualpén;292,0717485;72,24389539;900,9845811;161,0006812;248,7254113;242,5330774;222,9240201;25,80139121;244,5971887;219,8278531;163,0647925;56,76306066;24,76933556;1,032055648
Hualqui;123,0911259;23,07958611;661,6148017;57,69896527;50,0057699;369,2733777;184,6366888;0;461,5917221;215,4094703;157,7105051;57,69896527;11,53979305;0
Huara;0;0;1098,146877;205,9025395;34,31708991;343,1708991;480,4392588;34,31708991;926,5614276;514,7563487;480,4392588;34,31708991;34,31708991;0
Huasco;81,06647451;18,01477211;810,6647451;27,02215817;36,02954423;504,4136192;243,1994235;0;297,2437399;315,258512;234,1920375;81,06647451;0;0
Huechuraba;654,0180607;166,9251117;1107,361124;155,9792028;602,9371522;114,9320441;207,9722704;25,54045426;452,4309039;281,8571559;220,7424975;61,1146584;25,54045426;2,736477242
Illapel;137,9944802;73,59705612;696,1054891;39,86507206;125,7283042;254,5231524;245,3235204;30,66544005;245,3235204;272,9224164;226,9242564;45,99816007;18,39926403;6,13308801
Independencia;759,497575;239,8007572;926,047297;289,9198865;292,2330771;118,7437833;189,6816279;35,46892228;439,5062109;330,7862535;255,9930913;74,79316221;19,2765882;2,313190584
Iquique;270,1903803;403,2071829;995,3167001;166,7328672;462,3257618;131,169347;194,9065649;40,18215912;729,7449588;432,3046085;355,1733375;77,13127096;18,93641982;1,385591694
Isla de Maipo;106,5097761;25,35947049;390,5358456;32,96731164;43,11109984;162,3006112;147,0849289;5,071894099;164,8365582;202,875764;144,5489818;58,32678214;2,535947049;0
Isla de Pascua;0;0;309,6742227;0;0;185,8045336;111,4827202;12,38696891;1040,505388;1176,762046;1015,731451;161,0305958;49,54787563;0
Juan Fernández;0;0;198,019802;0;99,00990099;99,00990099;0;0;891,0891089;198,019802;99,00990099;99,00990099;0;0
La Calera;123,8320387;86,30717851;510,338099;54,41104732;93,81215055;136,9657398;208,2629742;16,8861871;315,2088258;208,2629742;140,7182258;67,5447484;7,504972044;0
La Cisterna;1076,01984;272,2947667;1438,404697;363,397105;590,1407025;190,3026622;249,013058;45,55116915;521,3078247;356,3113675;303,674461;52,63690657;23,28170867;0
La Cruz;77,34896597;32,56798567;492,5907833;40,70998209;85,49096238;154,6979319;199,4789122;12,21299463;191,3369158;122,1299463;105,8459534;16,28399284;16,28399284;0
La Estrella;32,18538783;0;643,7077567;0;0;225,2977148;418,4100418;0;547,1515932;64,37077567;64,37077567;0;32,18538783;0
La Florida;634,859028;179,9481326;1095,566572;145,4202696;548,1613283;196,8340218;169,1109201;36,04003216;394,6761564;287,3121445;231,3618848;55,95025972;17,38994559;2,016225575
La Granja;1025,69128;297,2544792;746,4027308;155,9769383;254,7895536;172,309602;139,6442746;23,68236236;278,471916;396,8837278;311,1372434;85,74648439;27,76552828;3,266532739
La Higuera;136,1161525;22,68602541;1701,451906;45,37205082;249,5462795;476,4065336;431,0344828;499,092559;340,2903811;589,8366606;521,7785844;68,05807623;0;0
La Ligua;98,90139264;114,9394563;620,1384619;42,76816979;106,9204245;267,3010612;192,4567641;10,69204245;416,9896554;331,4533159;269,9740718;61,47924407;21,38408489;2,673010612
La Pintana;706,7624558;119,2065611;564,2443893;193,9093394;124,5046305;118,1469473;114,4382987;13,24517346;211,3929684;428,6138131;325,8312671;102,782546;28,60957467;8,476911014
La Reina;338,2710814;99,96667777;1471,226763;139,3474902;733,0889703;356,446841;173,6794806;68,66398069;603,8391243;220,128644;178,7283027;41,4003413;15,14646633;0
La Serena;246,9590859;110,9882459;1221,689806;107,7118401;269,4843756;443,5434329;349,7563173;51,19384036;693,3693738;330,9169841;276,4467379;54,47024614;15,56292747;0,409550723
La Unión;32,95644679;10,14044517;550,1191502;7,605333874;50,70222583;289,0026872;195,2035694;7,605333874;443,644476;205,3440146;149,5715662;55,77244841;10,14044517;0
Lago Ranco;9,726680284;9,726680284;389,0672114;0;0;136,173524;252,8936874;0;233,4403268;106,9934831;106,9934831;0;0;0
Lago Verde;0;0;108,8139282;0;0;0;108,8139282;0;217,6278564;0;0;0;108,8139282;0
Laguna Blanca;0;0;751,8796992;0;0;0;375,9398496;375,9398496;0;375,9398496;375,9398496;0;0;0
