TASA DE DENUNCIA POR DELITOS DE ROBOS CON VIOLENCIA O INTIMIDACIÓN;;;;;;;;;;;;;;;;;;
SEGÚN UNIDAD TERRITORIAL;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
ORDEN;UN_ADMIN;UNIDAD;Año;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
49;COMUNA;La Higuera;;0,0;76,4;0,0;75,2;49,7;123,2;24,4;72,5;71,9;47,5;117,7;186,7;92,6;22,9;136,1
50;COMUNA;La Serena;;294,5;299,2;246,8;268,2;297,0;195,3;221,2;202,3;197,4;263,0;248,3;207,2;245,6;235,9;247,0
51;COMUNA;Paiguano;;0,0;45,5;22,7;0,0;67,8;67,5;22,4;22,3;44,4;22,1;22,0;0,0;21,8;21,7;0,0
52;COMUNA;Vicuña;;35,6;47,0;69,9;61,5;117,8;127,8;119,0;66,2;94,5;53,9;103,1;77,4;62,7;65,4;44,2
53;PROVINCIA;Provincia de Choapa;;60,5;70,8;61,1;72,4;106,6;98,9;97,0;93,9;82,0;92,4;76,2;89,8;69,5;83,9;118,2
54;COMUNA;Canela;;0,0;0,0;0,0;0,0;31,8;21,2;31,8;10,6;0,0;21,2;21,2;52,9;31,7;31,6;115,6
55;COMUNA;Illapel;;47,8;102,1;67,0;124,4;108,3;139,9;104,6;101,1;81,9;75,3;90,7;74,8;80,7;80,2;138,0
56;COMUNA;Los Vilos;;171,5;116,3;119,9;97,7;162,1;119,7;171,9;149,9;147,7;140,7;120,1;173,1;94,3;92,8;139,1
57;COMUNA;Salamanca;;16,2;24,1;31,8;15,7;89,5;61,6;53,3;71,5;59,5;99,3;43,6;54,0;49,9;98,5;79,9
58;PROVINCIA;Provincia de Limarí;;103,9;116,7;104,7;113,1;129,5;140,4;159,8;109,7;114,7;152,6;118,5;126,7;102,8;104,6;114,5
59;COMUNA;Combarbalá;;7,2;29,1;7,3;36,6;14,6;29,3;29,3;14,6;21,9;14,6;7,3;36,5;29,1;21,8;36,1
60;COMUNA;Monte Patria;;41,7;44,9;9,6;57,8;44,9;28,8;57,4;60,4;22,2;22,1;34,6;18,8;25,0;18,7;18,5
61;COMUNA;Ovalle;;148,3;161,3;159,1;154,0;185,8;203,2;223,8;149,7;163,3;219,7;170,5;172,3;145,9;150,1;160,1
62;COMUNA;Punitaqui;;19,5;48,2;9,5;9,4;9,3;27,7;27,4;9,0;35,7;70,5;8,7;103,5;8,5;8,4;49,9
63;COMUNA;Río Hurtado;;0,0;0,0;0,0;0,0;0,0;0,0;22,4;0,0;22,6;0,0;0,0;45,6;0,0;22,9;0,0
64;REGION;Región de Valparaíso;;247,2;230,0;250,2;279,1;302,1;270,7;302,6;244,8;233,1;270,2;276,4;276,5;255,1;241,4;240,9
65;PROVINCIA;Provincia de Valparaíso;;326,3;297,8;344,6;369,6;432,7;378,8;428,7;345,8;319,6;386,9;412,8;401,9;375,7;343,9;334,9
66;COMUNA;Casablanca;;135,9;92,2;74,4;130,4;96,4;83,2;125,0;107,8;110,2;138,7;155,3;142,3;201,3;194,6;208,9
67;COMUNA;Concón;;168,9;257,0;190,0;306,4;379,5;218,6;280,5;226,0;215,1;298,4;303,2;256,6;234,1;218,8;203,9
68;COMUNA;Juan Fernández;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
69;COMUNA;Puchuncaví;;74,9;159,5;116,9;260,3;210,9;224,5;231,5;313,9;176,7;167,7;115,2;145,5;301,2;279,7;187,9
